MSOA11CD,MSOA11NM,xcoord,ycoord
E02000381,Hammersmith and Fulham 010,-0.21863,51.49745
E02000382,Hammersmith and Fulham 011,-0.23921,51.49411
E02000383,Hammersmith and Fulham 012,-0.21098,51.49346
E02000384,Hammersmith and Fulham 013,-0.22665,51.49231
E02000385,Hammersmith and Fulham 014,-0.21207,51.48829
E02000386,Hammersmith and Fulham 015,-0.20371,51.48734
E02000387,Hammersmith and Fulham 016,-0.21573,51.48512
E02000388,Hammersmith and Fulham 017,-0.19843,51.48316
E02000389,Hammersmith and Fulham 018,-0.22141,51.48127
E02000390,Hammersmith and Fulham 019,-0.20962,51.48069
E02000391,Hammersmith and Fulham 020,-0.19299,51.47712
E02000392,Hammersmith and Fulham 021,-0.20303,51.47634
E02000393,Hammersmith and Fulham 022,-0.21292,51.47689
E02000394,Hammersmith and Fulham 023,-0.18557,51.47301
E02000395,Hammersmith and Fulham 024,-0.20915,51.47022
E02000396,Hammersmith and Fulham 025,-0.1943,51.46906
E02000397,Haringey 001,-0.11696,51.60556
E02000398,Haringey 002,-0.05442,51.60424
E02000400,Haringey 004,-0.12999,51.60513
E02000401,Haringey 005,-0.09058,51.60414
E02000402,Haringey 006,-0.07992,51.60323
E02000403,Haringey 007,-0.10809,51.60311
E02000404,Haringey 008,-0.09974,51.60135
E02000405,Haringey 009,-0.13071,51.59726
E02000406,Haringey 010,-0.10021,51.59625
E02000407,Haringey 011,-0.07341,51.59511
E02000408,Haringey 012,-0.06602,51.59515
E02000409,Haringey 013,-0.08693,51.59415
E02000410,Haringey 014,-0.14456,51.59498
E02000411,Haringey 015,-0.05725,51.59311
E02000412,Haringey 016,-0.11016,51.59333
E02000413,Haringey 017,-0.15491,51.59398
E02000414,Haringey 018,-0.07912,51.59101
E02000415,Haringey 019,-0.0945,51.59042
E02000416,Haringey 020,-0.11865,51.58792
E02000417,Haringey 021,-0.14103,51.58662
E02000418,Haringey 022,-0.12956,51.5863
E02000419,Haringey 023,-0.10468,51.58576
E02000420,Haringey 024,-0.07892,51.58559
E02000421,Haringey 025,-0.06795,51.58499
E02000422,Haringey 026,-0.08595,51.58269
E02000423,Haringey 027,-0.09465,51.58163
E02000424,Haringey 028,-0.11393,51.58114
E02000425,Haringey 029,-0.06797,51.57899
E02000426,Haringey 030,-0.15639,51.57874
E02000427,Haringey 031,-0.10155,51.57445
E02000428,Haringey 032,-0.08457,51.5771
E02000429,Haringey 033,-0.13293,51.57806
E02000430,Haringey 034,-0.11888,51.5769
E02000431,Haringey 035,-0.14248,51.57319
E02000432,Haringey 036,-0.10862,51.57242
E02000433,Harrow 001,-0.31838,51.62607
E02000434,Harrow 002,-0.29371,51.6123
E02000435,Harrow 003,-0.32163,51.61192
E02000436,Harrow 004,-0.35952,51.61649
E02000437,Harrow 005,-0.33886,51.6072
E02000438,Harrow 006,-0.36541,51.6066
E02000439,Harrow 007,-0.28014,51.6044
E02000440,Harrow 008,-0.31169,51.60495
E02000441,Harrow 009,-0.39358,51.60577
E02000442,Harrow 010,-0.28655,51.59971
E02000443,Harrow 011,-0.33909,51.59955
E02000444,Harrow 012,-0.30213,51.59789
E02000445,Harrow 013,-0.32996,51.59533
E02000447,Harrow 015,-0.35842,51.59686
E02000448,Harrow 016,-0.38211,51.59433
E02000449,Harrow 017,-0.29257,51.59053
E02000451,Harrow 019,-0.3681,51.58998
E02000452,Harrow 020,-0.33823,51.58816
E02000453,Harrow 021,-0.35116,51.58515
E02000454,Harrow 022,-0.38492,51.5829
E02000455,Harrow 023,-0.33099,51.58084
E02000456,Harrow 024,-0.35391,51.57925
E02000457,Harrow 025,-0.36854,51.57711
E02000459,Harrow 027,-0.35197,51.56861
E02000460,Harrow 028,-0.36831,51.56725
E02000461,Harrow 029,-0.33619,51.56798
E02000462,Harrow 030,-0.35968,51.5605
E02000463,Harrow 031,-0.37407,51.55984
E02000464,Havering 001,0.22306,51.61857
E02000465,Havering 002,0.24209,51.60733
E02000466,Havering 003,0.18447,51.61299
E02000467,Havering 004,0.21907,51.60377
E02000468,Havering 005,0.15629,51.61091
E02000469,Havering 006,0.20545,51.59898
E02000470,Havering 007,0.2489,51.5917
E02000471,Havering 008,0.1844,51.59482
E02000472,Havering 009,0.17002,51.59171
E02000473,Havering 010,0.23079,51.58317
E02000474,Havering 011,0.16037,51.58564
E02000475,Havering 012,0.20405,51.58534
E02000476,Havering 013,0.18242,51.5792
E02000477,Havering 014,0.20591,51.57332
E02000478,Havering 015,0.23175,51.57197
E02000479,Havering 016,0.19138,51.57038
E02000480,Havering 017,0.16387,51.5711
E02000481,Havering 018,0.2932,51.55814
E02000482,Havering 019,0.25644,51.56507
E02000483,Havering 020,0.21886,51.56203
E02000484,Havering 021,0.19669,51.56114
E02000485,Havering 022,0.23775,51.55842
E02000486,Havering 023,0.20888,51.55335
E02000487,Havering 024,0.25545,51.53986
E02000488,Havering 025,0.21474,51.54639
E02000489,Havering 026,0.19544,51.54266
E02000490,Havering 027,0.195,51.53423
E02000491,Havering 028,0.17646,51.52269
E02000492,Havering 029,0.21049,51.51116
E02000493,Havering 030,0.19969,51.51665
E02000494,Hillingdon 001,-0.43773,51.60619
E02000495,Hillingdon 002,-0.41869,51.60458
E02000496,Hillingdon 003,-0.47623,51.59847
E02000497,Hillingdon 004,-0.40911,51.59038
E02000498,Hillingdon 005,-0.43982,51.58532
E02000499,Hillingdon 006,-0.39521,51.57915
E02000500,Hillingdon 007,-0.42175,51.58008
E02000501,Hillingdon 008,-0.39991,51.57074
E02000502,Hillingdon 009,-0.42708,51.56125
E02000503,Hillingdon 010,-0.40654,51.56391
E02000504,Hillingdon 011,-0.45083,51.56427
E02000506,Hillingdon 013,-0.46646,51.55921
E02000507,Hillingdon 014,-0.43519,51.54517
E02000508,Hillingdon 015,-0.47058,51.54075
E02000509,Hillingdon 016,-0.48522,51.53868
E02000510,Hillingdon 017,-0.45769,51.53256
E02000511,Hillingdon 018,-0.42583,51.53234
E02000512,Hillingdon 019,-0.44289,51.53155
E02000513,Hillingdon 020,-0.40031,51.52863
E02000514,Hillingdon 021,-0.41194,51.52383
E02000515,Hillingdon 022,-0.47975,51.52004
E02000516,Hillingdon 023,-0.38748,51.52158
E02000517,Hillingdon 024,-0.43725,51.51951
E02000518,Hillingdon 025,-0.45852,51.51647
E02000519,Hillingdon 026,-0.40648,51.51567
E02000520,Hillingdon 027,-0.42329,51.50958
E02000521,Hillingdon 028,-0.45069,51.50206
E02000522,Hillingdon 029,-0.4729,51.50297
E02000523,Hillingdon 030,-0.42411,51.49881
E02000524,Hillingdon 031,-0.46561,51.47684
E02000525,Hillingdon 032,-0.4256,51.48493
E02000526,Hounslow 001,-0.25077,51.49248
E02000528,Hounslow 003,-0.29548,51.49224
E02000529,Hounslow 004,-0.37604,51.48923
E02000530,Hounslow 005,-0.39951,51.49047
E02000531,Hounslow 006,-0.31445,51.4852
E02000532,Hounslow 007,-0.26026,51.4815
E02000533,Hounslow 008,-0.27486,51.48357
E02000534,Hounslow 009,-0.34185,51.48831
E02000535,Hounslow 010,-0.39043,51.48123
E02000536,Hounslow 011,-0.37323,51.47811
E02000537,Hounslow 012,-0.35607,51.48037
E02000538,Hounslow 013,-0.40594,51.47356
E02000539,Hounslow 014,-0.33007,51.47295
E02000540,Hounslow 015,-0.34914,51.47124
E02000541,Hounslow 016,-0.39135,51.4706
E02000542,Hounslow 017,-0.37673,51.46919
E02000543,Hounslow 018,-0.36459,51.46517
E02000544,Hounslow 019,-0.34905,51.46268
E02000545,Hounslow 020,-0.33082,51.46293
E02000546,Hounslow 021,-0.38516,51.4585
E02000547,Hounslow 022,-0.41783,51.45962
E02000548,Hounslow 023,-0.44305,51.44825
E02000549,Hounslow 024,-0.40003,51.44871
E02000550,Hounslow 025,-0.41824,51.44496
E02000551,Hounslow 026,-0.38911,51.43893
E02000552,Hounslow 027,-0.42728,51.43707
E02000553,Hounslow 028,-0.39862,51.42941
E02000554,Islington 001,-0.12246,51.57074
E02000555,Islington 002,-0.13114,51.56881
E02000556,Islington 003,-0.11772,51.56607
E02000557,Islington 004,-0.13634,51.56365
E02000558,Islington 005,-0.1114,51.56167
E02000559,Islington 006,-0.10219,51.55963
E02000560,Islington 007,-0.11758,51.55897
E02000561,Islington 008,-0.1305,51.55834
E02000562,Islington 009,-0.09621,51.55436
E02000563,Islington 010,-0.12646,51.5535
E02000564,Islington 011,-0.11347,51.55274
E02000565,Islington 012,-0.08493,51.55019
E02000566,Islington 013,-0.10496,51.54915
E02000567,Islington 014,-0.08856,51.54556
E02000568,Islington 015,-0.12019,51.54524
E02000569,Islington 016,-0.09792,51.54346
E02000570,Islington 017,-0.11018,51.5407
E02000571,Islington 018,-0.09368,51.53792
E02000572,Islington 019,-0.11698,51.53625
E02000573,Islington 020,-0.10306,51.53458
E02000574,Islington 021,-0.11349,51.53123
E02000575,Islington 022,-0.10433,51.52502
E02000576,Islington 023,-0.09203,51.52463
E02000577,Kensington and Chelsea 001,-0.21414,51.525
E02000578,Kensington and Chelsea 002,-0.21954,51.52267
E02000579,Kensington and Chelsea 003,-0.21918,51.51781
E02000580,Kensington and Chelsea 004,-0.20566,51.51728
E02000581,Kensington and Chelsea 005,-0.21452,51.51215
E02000582,Kensington and Chelsea 006,-0.19927,51.51147
E02000583,Kensington and Chelsea 007,-0.20926,51.51004
E02000584,Kensington and Chelsea 008,-0.19372,51.50564
E02000585,Kensington and Chelsea 009,-0.20752,51.50195
E02000586,Kensington and Chelsea 010,-0.18546,51.49907
E02000587,Kensington and Chelsea 011,-0.19731,51.498
E02000588,Kensington and Chelsea 012,-0.16266,51.49653
E02000589,Kensington and Chelsea 013,-0.18952,51.49455
E02000590,Kensington and Chelsea 014,-0.1691,51.49332
E02000591,Kensington and Chelsea 015,-0.19952,51.49308
E02000592,Kensington and Chelsea 016,-0.17934,51.49301
E02000593,Kensington and Chelsea 017,-0.19101,51.48864
E02000594,Kensington and Chelsea 018,-0.16025,51.48733
E02000595,Kensington and Chelsea 019,-0.17285,51.48662
E02000596,Kensington and Chelsea 020,-0.18397,51.48584
E02000597,Kensington and Chelsea 021,-0.18141,51.48079
E02000598,Kingston upon Thames 001,-0.30088,51.42607
E02000599,Kingston upon Thames 002,-0.26239,51.4215
E02000600,Kingston upon Thames 003,-0.2833,51.4178
E02000601,Kingston upon Thames 004,-0.29911,51.41708
E02000602,Kingston upon Thames 005,-0.29232,51.40845
E02000603,Kingston upon Thames 006,-0.27665,51.40621
E02000604,Kingston upon Thames 007,-0.25346,51.40367
E02000605,Kingston upon Thames 008,-0.26677,51.40111
E02000606,Kingston upon Thames 009,-0.30341,51.40333
E02000607,Kingston upon Thames 010,-0.28799,51.39859
E02000608,Kingston upon Thames 011,-0.3071,51.39335
E02000609,Kingston upon Thames 012,-0.26074,51.39019
