20.4 km,45,29,E02000121,Brent 029,-0.30027,51.54034
10.5 km,53,28,E02000120,Brent 028,-0.20029,51.54016
17.0 km,56,27,E02000119,Brent 027,-0.2699,51.53706
20.6 km,65,26,E02000118,Brent 026,-0.28899,51.54363
17.4 km,50,25,E02000117,Brent 025,-0.24992,51.54476
16.6 km,49,24,E02000116,Brent 024,-0.23762,51.54456
13.6 km,41,23,E02000115,Brent 023,-0.21236,51.5471
14.8 km,43,22,E02000114,Brent 022,-0.2287,51.54679
20.0 km,57,21,E02000113,Brent 021,-0.26175,51.55056
18.6 km,60,20,E02000112,Brent 020,-0.2852,51.55013
19.3 km,56,19,E02000111,Brent 019,-0.30478,51.55161
16.1 km,42,18,E02000110,Brent 018,-0.23181,51.55316
17.6 km,47,17,E02000109,Brent 017,-0.27718,51.55593
24.0 km,70,16,E02000108,Brent 016,-0.32515,51.55717
15.2 km,46,15,E02000107,Brent 015,-0.22034,51.5556
16.8 km,42,14,E02000106,Brent 014,-0.25069,51.55751
21.5 km,62,13,E02000105,Brent 013,-0.31298,51.55961
17.8 km,48,12,E02000104,Brent 012,-0.292,51.56253
17.9 km,64,11,E02000103,Brent 011,-0.2344,51.56363
19.3 km,57,10,E02000102,Brent 010,-0.25121,51.5664
18.1 km,49,9,E02000101,Brent 009,-0.26976,51.56642
21.2 km,54,8,E02000100,Brent 008,-0.31804,51.57099
18.8 km,45,7,E02000099,Brent 007,-0.30144,51.5693
19.2 km,50,6,E02000098,Brent 006,-0.28451,51.57423
19.5 km,56,5,E02000097,Brent 005,-0.26404,51.57676
21.2 km,55,4,E02000096,Brent 004,-0.3037,51.58048
21.7 km,44,3,E02000095,Brent 003,-0.28017,51.58435
18.4 km,49,2,E02000094,Brent 002,-0.25963,51.58835
23.7 km,56,1,E02000093,Brent 001,-0.27465,51.59338
21.4 km,55,90,E02000277,Enfield 001,-0.03553,51.67798
18.4 km,50,89,E02000276,Ealing 039,-0.31058,51.4966
26.9 km,76,88,E02000275,Ealing 038,-0.37242,51.49791
24.7 km,75,87,E02000274,Ealing 037,-0.3911,51.50013
21.4 km,69,86,E02000272,Ealing 035,-0.32935,51.5
14.0 km,41,85,E02000271,Ealing 034,-0.25797,51.50145
16.1 km,48,84,E02000270,Ealing 033,-0.27359,51.50294
20.1 km,64,83,E02000269,Ealing 032,-0.31404,51.50502
19.2 km,60,82,E02000268,Ealing 031,-0.30138,51.50513
20.4 km,67,81,E02000267,Ealing 030,-0.33824,51.50685
22.4 km,79,80,E02000266,Ealing 029,-0.35676,51.50691
19.4 km,61,79,E02000265,Ealing 028,-0.32555,51.50882
16.8 km,45,78,E02000264,Ealing 027,-0.28561,51.50858
23.8 km,68,77,E02000263,Ealing 026,-0.38669,51.50938
16.6 km,55,76,E02000262,Ealing 025,-0.26928,51.5096
13.7 km,43,75,E02000261,Ealing 024,-0.25388,51.51134
22.9 km,78,74,E02000260,Ealing 023,-0.37184,51.51233
20.9 km,62,73,E02000259,Ealing 022,-0.34275,51.51741
15.4 km,51,72,E02000258,Ealing 021,-0.27366,51.51682
18.2 km,50,71,E02000257,Ealing 020,-0.29534,51.51733
18.5 km,53,70,E02000256,Ealing 019,-0.31434,51.51713
21.4 km,60,69,E02000255,Ealing 018,-0.32456,51.52201
27.3 km,67,68,E02000254,Ealing 017,-0.37351,51.52141
21.9 km,66,67,E02000253,Ealing 016,-0.33645,51.52337
14.7 km,42,66,E02000252,Ealing 015,-0.26362,51.52537
23.4 km,66,65,E02000251,Ealing 014,-0.36315,51.52626
19.1 km,53,64,E02000250,Ealing 013,-0.30838,51.52688
22.6 km,59,63,E02000249,Ealing 012,-0.35352,51.52776
16.5 km,37,62,E02000248,Ealing 011,-0.29178,51.52972
24.2 km,68,61,E02000247,Ealing 010,-0.36831,51.53494
25.7 km,66,60,E02000246,Ealing 009,-0.40024,51.53734
23.9 km,55,59,E02000245,Ealing 008,-0.38465,51.53903
18.9 km,41,58,E02000244,Ealing 007,-0.32311,51.5353
21.0 km,48,57,E02000243,Ealing 006,-0.34541,51.53828
20.3 km,50,56,E02000242,Ealing 005,-0.3127,51.53953
22.5 km,49,55,E02000241,Ealing 004,-0.36439,51.54629
22.7 km,52,54,E02000240,Ealing 003,-0.37439,51.5501
20.7 km,65,53,E02000239,Ealing 002,-0.32679,51.54841
21.9 km,66,52,E02000238,Ealing 001,-0.34791,51.5534
28.3 km,77,51,E02000237,Croydon 044,-0.11812,51.30144
26.8 km,50,50,E02000236,Croydon 043,-0.14633,51.31017
26.1 km,68,49,E02000235,Croydon 042,-0.09431,51.31784
26.4 km,74,48,E02000234,Croydon 041,-0.1269,51.32093
25.8 km,63,47,E02000233,Croydon 040,-0.10831,51.32391
25.5 km,65,46,E02000232,Croydon 039,-0.06328,51.32985
25.5 km,73,45,E02000231,Croydon 038,-0.1351,51.33439
23.5 km,50,44,E02000230,Croydon 037,-0.11221,51.33942
28.0 km,69,43,E02000229,Croydon 036,-0.00694,51.33745
