fclass,name,id,address,city,region,postcode
primary,,928,"45 St. Machar Drive, Aberdeen, AB24 3SE, Scotland",Aberdeen,Scotland,AB24 3SE
residential,Hilton Terrace,929,"270 Clifton Road, Aberdeen, AB24 4HA, Scotland",Aberdeen,Scotland,AB24 4HA
tertiary,Ashgrove Road,931,"32 Ashgrove Road, Aberdeen, AB25 3AD, Scotland",Aberdeen,Scotland,AB25 3AD
tertiary,Ashgrove Road,931,"32 Ashgrove Road, Aberdeen, AB25 3AD, Scotland",Aberdeen,Scotland,AB25 3AD
residential,Leadside Road,930,"120 Rosemount Viaduct, Aberdeen, AB25 1NX, Scotland",Aberdeen,Scotland,AB25 1NX
secondary,Mid Stocket Road,925,"66 Mid Stocket Road, Aberdeen, AB15 5JB, Scotland",Aberdeen,Scotland,AB15 5JB
pedestrian,Friar Street,774,"79 Murray Place, Stirling, FK8 1AU, Scotland",Stirling,Scotland,FK8 1AU
tertiary,St Swithin Street,920,"43 St. Swithin Street, Aberdeen, AB10 6XL, Scotland",Aberdeen,Scotland,AB10 6XL
service,,920,"43 St. Swithin Street, Aberdeen, AB10 6XL, Scotland",Aberdeen,Scotland,AB10 6XL
service,Union Grove Lane,920,"43 St. Swithin Street, Aberdeen, AB10 6XL, Scotland",Aberdeen,Scotland,AB10 6XL
pedestrian,Gordon Street,543,"113 Buchanan Street, Glasgow, G1 3HF, Scotland",Glasgow,Scotland,G1 3HF
unclassified,West Nile Street,261,"19 West Nile Street, Glasgow, G1 2PS, Scotland",Glasgow,Scotland,G1 2PS
tertiary,Victoria Road,923,"225 Victoria Road, Aberdeen, AB11 9NQ, Scotland",Aberdeen,Scotland,AB11 9NQ
residential,Baronald Gate,934,"105-107 Cleveden Road, Glasgow, G12 0JU, Scotland",Glasgow,Scotland,G12 0JU
residential,Ashburton Road,934,"105-107 Cleveden Road, Glasgow, G12 0JU, Scotland",Glasgow,Scotland,G12 0JU
secondary,Chapel Street,362,"26-28 Chapel Street, Aberdeen, AB10 1SP, Scotland",Aberdeen,Scotland,AB10 1SP
primary,South Bridge,232,"46 North Bridge, Edinburgh, EH1 1QN, Scotland",Edinburgh,Scotland,EH1 1QN
primary,South Bridge,231,"25 North Bridge, Edinburgh, EH1 1SB, Scotland",Edinburgh,Scotland,EH1 1SB
service,Meuse Lane,900,"30-31 Princes Street, Edinburgh, EH2 2BY, Scotland",Edinburgh,Scotland,EH2 2BY
residential,Raeburn Street,340,"64 Raeburn Place, Edinburgh, EH4 1HJ, Scotland",Edinburgh,Scotland,EH4 1HJ
